Date,Open,High,Low,Close,Adj Close,Volume
2000-02-07,110.898659,111.735184,108.150093,109.106117,66.147156,6045357
2000-02-08,111.794930,113.766731,111.077919,113.587479,68.936523,5715658
2000-02-09,113.766731,114.483749,111.854683,112.213196,68.102463,5621936
2000-02-10,112.511948,113.886230,111.735184,113.886230,69.117859,4651144
2000-02-11,113.826485,114.184990,109.524376,110.301147,66.942047,6013872
2000-02-14,110.898659,111.257172,109.464630,110.958412,67.340965,4753024
2000-02-15,110.779160,112.272942,108.867111,111.974190,67.957436,5415665
2000-02-16,111.376671,112.153442,110.181641,110.659653,67.159668,4149377
2000-02-17,111.376671,113.647224,110.659653,111.615677,67.739861,5478425
2000-02-18,110.181641,110.838913,106.596558,107.552582,65.273933,8026376
2000-02-22,107.074570,108.448853,103.967499,106.118546,64.403618,8006921
2000-02-23,105.640533,105.640533,103.728493,103.967499,63.098133,7777324
2000-02-24,104.027245,106.118546,103.429733,105.640533,64.113503,9531152
2000-02-25,105.043022,105.043022,100.322655,103.250481,62.662968,10786561
2000-02-28,100.023903,101.816444,99.366638,99.904396,60.632233,8869975
2000-02-29,100.920174,100.920174,96.498566,98.231361,59.616848,10967205
2000-03-01,97.514343,100.860420,95.662048,95.841301,58.166313,11304959
2000-03-02,96.080307,100.800667,95.124283,98.589867,59.834419,11707773
2000-03-03,102.533463,105.162521,101.398186,103.250481,62.662968,10630289
2000-03-06,105.102776,106.118546,96.558319,98.530113,59.798176,11241780
2000-03-07,101.338432,102.294456,97.215584,98.470360,59.761902,10496715
2000-03-08,98.470360,102.174950,98.231361,101.577438,61.647614,8761714
2000-03-09,101.816444,103.250481,99.545891,103.250481,62.662968,6625469
2000-03-10,102.891968,104.206497,100.382408,100.621414,61.067375,7419487
2000-03-13,99.426384,104.206497,97.992355,102.951721,62.481674,8233066
2000-03-14,103.011475,105.162521,102.652962,103.847992,63.025593,8340490
2000-03-15,102.772469,103.489487,101.457932,102.294456,62.082752,5926531
2000-03-16,104.206497,104.983269,103.130974,104.206497,63.243187,6927135
2000-03-17,103.489487,106.775810,102.951721,105.162521,63.823395,9264736
2000-03-20,105.162521,108.389099,105.102776,107.791588,65.418983,6865421
2000-03-21,107.851341,109.643883,107.014816,108.508606,65.854156,7083094
2000-03-22,109.464630,110.301147,108.867111,109.225624,66.289337,6420139
2000-03-23,110.779160,110.779160,106.716064,110.181641,66.869514,6791050
2000-03-24,110.301147,116.873802,110.002388,115.320267,69.988159,12683378
2000-03-27,119.502869,122.609940,119.144356,121.295410,73.614487,12408593
2000-03-28,120.219887,121.414917,116.694550,117.112808,71.076035,8524482
2000-03-29,116.933556,117.053062,113.288719,113.766731,69.045311,7648666
2000-03-30,113.647224,117.590820,113.467972,117.351814,71.221123,9579268
2000-03-31,117.232315,118.307838,111.914436,113.169212,68.682678,8383899
2000-04-03,114.722755,116.993309,114.184990,116.634796,70.785950,8070518
2000-04-04,116.156792,121.355164,110.002388,115.858032,70.314545,17433891
2000-04-05,115.200768,120.219887,114.483749,119.502869,72.526573,9093401
2000-04-06,118.068832,122.370934,117.232315,117.351814,71.221123,9296220
2000-04-07,118.068832,120.160133,116.156792,117.710327,71.438690,5627794
2000-04-10,119.263863,119.861374,116.216537,116.754303,70.858475,5760636
2000-04-11,116.276291,116.276291,112.631454,114.125237,69.262886,8094680
2000-04-12,114.364243,114.364243,106.775810,108.747612,65.999191,9293919
2000-04-13,107.552582,109.285370,105.162521,105.760040,64.186043,8615274
2000-04-14,104.983269,107.791588,98.350861,100.382408,60.922337,12323972
2000-04-17,99.306885,107.313576,98.769119,106.955070,64.911301,10428097
2000-04-18,107.313576,110.062141,105.222275,106.596558,64.693756,8582953
2000-04-19,104.923515,104.923515,98.291107,100.382408,60.922337,15349527
2000-04-20,100.382408,100.621414,97.574089,99.426384,60.342125,11122432
2000-04-24,97.514343,102.473709,96.797325,101.816444,61.792671,8915163
2000-04-25,101.816444,108.030594,101.756691,107.552582,65.273933,10016914
