Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,139.750000,141.687500,138.531250,140.937500,93.857681,8419900
2000-02-02,141.281250,142.250000,140.375000,141.062500,93.940895,6205900
2000-02-03,140.875000,143.250000,140.000000,143.187500,95.356010,7997500
2000-02-04,143.187500,144.000000,142.125000,142.593750,94.960632,4925400
2000-02-07,142.562500,142.781250,141.437500,142.375000,94.814926,5845800
2000-02-08,143.968750,144.562500,143.625000,144.312500,96.105209,4936400
2000-02-09,144.468750,144.468750,141.265625,141.281250,94.086517,8511500
2000-02-10,141.625000,142.562500,140.875000,141.562500,94.273827,6690600
2000-02-11,141.843750,141.937500,138.031250,138.687500,92.359253,9849800
2000-02-14,139.781250,139.781250,138.312500,139.500000,92.900352,8528800
2000-02-15,139.250000,141.218750,137.796875,141.078125,93.951279,11078300
2000-02-16,140.375000,140.937500,138.796875,139.000000,92.567383,8845400
2000-02-17,140.437500,140.437500,138.218750,138.281250,92.088684,7584200
2000-02-18,138.875000,138.875000,134.625000,135.312500,90.111626,9409200
2000-02-22,135.187500,136.343750,133.531250,134.968750,89.882713,16415400
2000-02-23,135.625000,137.468750,134.500000,136.562500,90.944092,12119000
2000-02-24,136.687500,137.031250,133.093750,133.812500,89.112732,17375000
2000-02-25,135.187500,136.718750,133.125000,133.328125,88.790184,10559900
2000-02-28,133.375000,136.687500,132.718750,136.125000,90.652763,13397800
2000-02-29,136.062500,137.437500,135.750000,137.437500,91.526787,8242500
2000-03-01,137.625000,139.000000,137.218750,138.437500,92.192757,6868000
2000-03-02,138.687500,139.125000,137.343750,138.531250,92.255142,7600200
2000-03-03,140.437500,141.718750,139.718750,141.125000,93.982491,12770300
2000-03-06,140.812500,141.343750,138.750000,139.750000,93.066818,11967100
2000-03-07,140.000000,140.156250,135.218750,137.046875,91.266655,20062000
2000-03-08,136.468750,137.843750,135.031250,136.875000,91.152184,11808500
2000-03-09,137.250000,140.875000,136.125000,140.875000,93.816002,5500900
2000-03-10,140.187500,142.000000,139.531250,140.125000,93.316566,7924600
2000-03-13,136.687500,140.468750,135.687500,138.593750,92.296806,10540500
2000-03-14,139.281250,140.093750,136.156250,136.625000,90.985703,8263900
2000-03-15,136.875000,140.437500,136.062500,139.812500,93.108421,10300800
2000-03-16,141.625000,146.843750,140.875000,146.343750,97.457901,25601400
2000-03-17,145.812500,148.000000,145.437500,146.937500,98.102005,10272900
2000-03-20,146.875000,147.343750,144.781250,146.187500,97.601311,12502300
2000-03-21,145.531250,149.750000,144.500000,149.187500,99.604210,13612600
2000-03-22,149.562500,150.843750,148.687500,150.093750,100.209305,8260000
2000-03-23,149.156250,153.468750,149.156250,152.656250,101.920128,11654500
2000-03-24,152.875000,155.750000,151.718750,153.562500,102.525200,11462900
2000-03-27,153.375000,153.781250,151.812500,151.937500,101.440254,8798600
2000-03-28,151.250000,152.984375,150.593750,151.062500,100.856064,6334400
2000-03-29,151.562500,152.484375,149.656250,151.218750,100.960411,6747500
2000-03-30,150.156250,151.921875,147.125000,148.687500,99.270439,9491900
2000-03-31,149.625000,152.312500,148.437500,150.375000,100.397079,9249100
2000-04-03,150.125000,151.250000,148.687500,151.250000,100.981255,8508200
2000-04-04,151.750000,153.000000,141.390625,150.125000,100.230148,19585500
2000-04-05,147.875000,150.812500,147.625000,149.187500,99.604210,8387200
2000-04-06,150.250000,151.687500,149.000000,150.484375,100.470085,6378500
2000-04-07,151.562500,152.125000,150.500000,151.437500,101.106461,6023600
2000-04-10,151.750000,153.109375,150.312500,150.843750,100.710037,9624200
2000-04-11,150.000000,151.625000,148.375000,150.406250,100.417946,9006400
2000-04-12,150.375000,151.156250,146.156250,146.281250,97.663918,10779200
2000-04-13,147.468750,148.156250,143.781250,144.250000,96.307732,12225800
2000-04-14,142.625000,142.812500,133.500000,136.000000,90.799690,29604000
2000-04-17,135.187500,140.750000,134.687500,140.750000,93.971001,23918200
2000-04-18,140.562500,144.468750,139.781250,144.468750,96.453766,11069200
2000-04-19,144.500000,145.125000,142.531250,143.125000,95.556656,6553700
2000-04-20,143.562500,143.937500,142.375000,143.812500,96.015648,8537600
2000-04-24,141.500000,143.312500,140.500000,142.250000,94.972481,12893100
2000-04-25,144.625000,148.156250,144.437500,148.156250,98.915718,14102000
2000-04-26,147.968750,148.750000,146.000000,146.484375,97.799500,7711100
2000-04-27,143.000000,147.343750,143.000000,146.000000,97.476135,15595300
2000-04-28,147.000000,147.859375,145.062500,145.093750,96.871078,8743400
2000-05-01,146.562500,148.484375,145.843750,147.062500,98.185493,7328300
2000-05-02,145.500000,147.125000,144.125000,144.125000,96.224258,9411900
2000-05-03,144.000000,144.000000,139.781250,140.750000,93.971001,12630700
2000-05-04,142.000000,142.359375,140.750000,141.812500,94.680313,5963600
2000-05-05,141.062500,144.000000,140.937500,143.531250,95.827827,7862400
2000-05-08,142.750000,143.375000,141.843750,142.453125,95.108070,5064100
2000-05-09,143.062500,143.406250,140.265625,141.312500,94.346558,5620300
2000-05-10,140.500000,140.968750,137.750000,138.125000,92.218399,10293900
2000-05-11,140.125000,141.500000,139.125000,141.281250,94.325645,7091100
2000-05-12,141.812500,143.468750,141.625000,142.812500,95.347992,5960800
2000-05-15,142.750000,145.609375,142.000000,145.281250,96.996208,4441300
2000-05-16,146.562500,147.718750,145.312500,146.687500,97.935150,8192200
2000-05-17,145.687500,146.187500,144.468750,145.156250,96.912758,5907200
2000-05-18,145.625000,146.312500,143.375000,143.375000,95.723564,4325600
2000-05-19,142.562500,143.234375,140.406250,141.125000,94.221336,6518400
2000-05-22,141.250000,141.468750,137.000000,140.062500,93.511978,10839400
2000-05-23,140.437500,140.812500,137.562500,138.000000,92.134972,7979200
2000-05-24,138.000000,140.687500,136.500000,140.250000,93.637138,11081500
2000-05-25,140.687500,141.812500,137.718750,137.843750,92.030663,8278900
2000-05-26,138.812500,139.687500,137.328125,138.000000,92.134972,4814000
2000-05-30,140.000000,142.937500,139.468750,142.500000,95.139359,5362700
2000-05-31,142.562500,144.000000,142.093750,142.812500,95.347992,6056500
2000-06-01,143.687500,145.437500,143.000000,145.312500,97.017166,8961600
2000-06-02,148.937500,149.093750,147.484375,147.843750,98.707085,8962200
2000-06-05,147.468750,148.218750,146.875000,147.125000,98.227203,6998100
2000-06-06,146.625000,147.781250,145.906250,146.468750,97.789078,4858900
2000-06-07,146.625000,148.000000,146.000000,147.484375,98.467133,4919500
2000-06-08,147.500000,147.750000,146.062500,146.906250,98.081184,5723100
2000-06-09,147.500000,147.968750,145.625000,146.593750,97.872520,3085300
2000-06-12,146.968750,146.968750,144.875000,144.875000,96.725021,3678900
2000-06-13,144.812500,147.750000,144.625000,147.593750,98.540184,6558700
2000-06-14,148.250000,148.875000,147.187500,147.843750,98.707085,6420500
2000-06-15,148.125000,148.750000,146.843750,148.156250,98.915718,5881200
2000-06-16,148.312500,148.312500,145.875000,146.593750,98.102959,5567900
2000-06-19,146.468750,149.156250,146.250000,148.468750,99.357742,5106900
2000-06-20,148.187500,148.875000,147.000000,147.937500,99.002258,6480000
2000-06-21,146.937500,148.437500,146.890625,147.875000,98.960403,3115000
2000-06-22,147.562500,147.687500,145.000000,145.625000,97.454651,7490500
2000-06-23,145.812500,146.125000,143.875000,144.375000,96.618118,4863300
2000-06-26,145.375000,146.250000,144.875000,146.234375,97.862480,5201300
2000-06-27,145.984375,146.718750,145.015625,145.156250,97.140938,4159500
2000-06-28,145.625000,146.984375,145.312500,145.562500,97.412811,5347700
2000-06-29,144.750000,145.750000,143.515625,144.187500,96.492676,6345700
2000-06-30,143.937500,145.593750,143.890625,145.281250,97.224579,7420200
2000-07-03,145.437500,147.437500,145.187500,147.281250,98.563065,1436600
2000-07-05,146.375000,146.656250,144.375000,144.625000,96.785439,2748200
2000-07-06,144.937500,146.468750,144.218750,145.750000,97.538330,5963200
